"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Switzerland";"Switzerland";"Type of owners - total";261471;1114137;978221
"1975";"Switzerland";"Switzerland";"Private forest";257722;297443;297443
"1975";"Switzerland";"Switzerland";"Public forest";3749;816694;680778
"1975";"Switzerland";"Switzerland";">>Federal forest";1;8159;5819
"1975";"Switzerland";"Switzerland";">>Cantonal forest";24;54240;47853
"1975";"Switzerland";"Switzerland";">>Municipality forest";1441;313837;256145
"1975";"Switzerland";"Switzerland";">>Bourgeois forest";1377;343685;290917
"1975";"Switzerland";"Switzerland";">>Other public forest";906;96773;80044
"1975";"Switzerland";"Zürich";"Type of owners - total";17421;47943;47428
"1975";"Switzerland";"Zürich";"Private forest";17167;23214;23214
"1975";"Switzerland";"Zürich";"Public forest";254;24729;24214
"1975";"Switzerland";"Zürich";">>Federal forest";1;477;461
"1975";"Switzerland";"Zürich";">>Cantonal forest";1;2997;2934
"1975";"Switzerland";"Zürich";">>Municipality forest";148;15762;15394
"1975";"Switzerland";"Zürich";">>Bourgeois forest";4;65;65
"1975";"Switzerland";"Zürich";">>Other public forest";100;5428;5360
"1975";"Switzerland";"Bern / Berne";"Type of owners - total";40467;197152;177633
"1975";"Switzerland";"Bern / Berne";"Private forest";39850;79819;79819
"1975";"Switzerland";"Bern / Berne";"Public forest";617;117333;97814
"1975";"Switzerland";"Bern / Berne";">>Federal forest";1;735;618
"1975";"Switzerland";"Bern / Berne";">>Cantonal forest";1;16216;14608
"1975";"Switzerland";"Bern / Berne";">>Municipality forest";244;41880;31815
"1975";"Switzerland";"Bern / Berne";">>Bourgeois forest";256;47262;41330
"1975";"Switzerland";"Bern / Berne";">>Other public forest";115;11240;9443
"1975";"Switzerland";"Luzern";"Type of owners - total";12266;37672;36623
"1975";"Switzerland";"Luzern";"Private forest";12009;25736;25736
"1975";"Switzerland";"Luzern";"Public forest";257;11936;10887
"1975";"Switzerland";"Luzern";">>Federal forest";1;1264;1107
"1975";"Switzerland";"Luzern";">>Cantonal forest";1;2662;2096
"1975";"Switzerland";"Luzern";">>Municipality forest";38;738;691
"1975";"Switzerland";"Luzern";">>Bourgeois forest";56;530;530
"1975";"Switzerland";"Luzern";">>Other public forest";161;6742;6463
"1975";"Switzerland";"Uri";"Type of owners - total";1180;20368;12637
"1975";"Switzerland";"Uri";"Private forest";1150;1382;1382
"1975";"Switzerland";"Uri";"Public forest";30;18986;11255
"1975";"Switzerland";"Uri";">>Federal forest";0;0;0
"1975";"Switzerland";"Uri";">>Cantonal forest";1;146;109
"1975";"Switzerland";"Uri";">>Municipality forest";2;1155;971
"1975";"Switzerland";"Uri";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Uri";">>Other public forest";27;17685;10175
"1975";"Switzerland";"Schwyz";"Type of owners - total";2890;24484;23212
"1975";"Switzerland";"Schwyz";"Private forest";2800;5354;5354
"1975";"Switzerland";"Schwyz";"Public forest";90;19130;17858
"1975";"Switzerland";"Schwyz";">>Federal forest";0;0;0
"1975";"Switzerland";"Schwyz";">>Cantonal forest";1;171;171
"1975";"Switzerland";"Schwyz";">>Municipality forest";4;131;131
"1975";"Switzerland";"Schwyz";">>Bourgeois forest";9;2526;2339
"1975";"Switzerland";"Schwyz";">>Other public forest";76;16302;15217
"1975";"Switzerland";"Obwalden";"Type of owners - total";1827;18086;15407
"1975";"Switzerland";"Obwalden";"Private forest";1800;1634;1634
"1975";"Switzerland";"Obwalden";"Public forest";27;16452;13773
"1975";"Switzerland";"Obwalden";">>Federal forest";1;448;164
"1975";"Switzerland";"Obwalden";">>Cantonal forest";1;19;17
"1975";"Switzerland";"Obwalden";">>Municipality forest";2;18;18
"1975";"Switzerland";"Obwalden";">>Bourgeois forest";6;8314;6882
"1975";"Switzerland";"Obwalden";">>Other public forest";17;7653;6692
"1975";"Switzerland";"Nidwalden";"Type of owners - total";612;7741;7086
"1975";"Switzerland";"Nidwalden";"Private forest";594;2497;2497
"1975";"Switzerland";"Nidwalden";"Public forest";18;5244;4589
"1975";"Switzerland";"Nidwalden";">>Federal forest";0;0;0
"1975";"Switzerland";"Nidwalden";">>Cantonal forest";1;117;117
"1975";"Switzerland";"Nidwalden";">>Municipality forest";1;19;19
"1975";"Switzerland";"Nidwalden";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Nidwalden";">>Other public forest";16;5108;4453
"1975";"Switzerland";"Glarus";"Type of owners - total";1458;16492;14268
"1975";"Switzerland";"Glarus";"Private forest";1420;1654;1654
"1975";"Switzerland";"Glarus";"Public forest";38;14838;12614
"1975";"Switzerland";"Glarus";">>Federal forest";1;109;99
"1975";"Switzerland";"Glarus";">>Cantonal forest";1;84;78
"1975";"Switzerland";"Glarus";">>Municipality forest";1;54;48
"1975";"Switzerland";"Glarus";">>Bourgeois forest";31;14365;12169
"1975";"Switzerland";"Glarus";">>Other public forest";4;226;220
"1975";"Switzerland";"Zug";"Type of owners - total";815;5953;5933
"1975";"Switzerland";"Zug";"Private forest";796;1832;1832
"1975";"Switzerland";"Zug";"Public forest";19;4121;4101
"1975";"Switzerland";"Zug";">>Federal forest";0;0;0
"1975";"Switzerland";"Zug";">>Cantonal forest";1;287;287
"1975";"Switzerland";"Zug";">>Municipality forest";3;13;13
"1975";"Switzerland";"Zug";">>Bourgeois forest";3;16;16
"1975";"Switzerland";"Zug";">>Other public forest";12;3805;3785
"1975";"Switzerland";"Fribourg / Freiburg";"Type of owners - total";33925;36766;35387
"1975";"Switzerland";"Fribourg / Freiburg";"Private forest";33656;13466;13466
"1975";"Switzerland";"Fribourg / Freiburg";"Public forest";269;23300;21921
"1975";"Switzerland";"Fribourg / Freiburg";">>Federal forest";1;117;113
"1975";"Switzerland";"Fribourg / Freiburg";">>Cantonal forest";1;4839;4123
"1975";"Switzerland";"Fribourg / Freiburg";">>Municipality forest";230;17011;16395
"1975";"Switzerland";"Fribourg / Freiburg";">>Bourgeois forest";2;926;908
"1975";"Switzerland";"Fribourg / Freiburg";">>Other public forest";35;407;382
"1975";"Switzerland";"Solothurn";"Type of owners - total";5370;30764;29421
"1975";"Switzerland";"Solothurn";"Private forest";5240;6064;6064
"1975";"Switzerland";"Solothurn";"Public forest";130;24700;23357
"1975";"Switzerland";"Solothurn";">>Federal forest";1;89;89
"1975";"Switzerland";"Solothurn";">>Cantonal forest";1;1441;1323
"1975";"Switzerland";"Solothurn";">>Municipality forest";0;0;0
"1975";"Switzerland";"Solothurn";">>Bourgeois forest";126;23073;21857
"1975";"Switzerland";"Solothurn";">>Other public forest";2;97;88
"1975";"Switzerland";"Basel-Stadt";"Type of owners - total";81;1373;1340
"1975";"Switzerland";"Basel-Stadt";"Private forest";76;132;132
"1975";"Switzerland";"Basel-Stadt";"Public forest";5;1241;1208
"1975";"Switzerland";"Basel-Stadt";">>Federal forest";0;0;0
"1975";"Switzerland";"Basel-Stadt";">>Cantonal forest";1;90;90
"1975";"Switzerland";"Basel-Stadt";">>Municipality forest";2;1031;998
"1975";"Switzerland";"Basel-Stadt";">>Bourgeois forest";2;120;120
"1975";"Switzerland";"Basel-Stadt";">>Other public forest";0;0;0
"1975";"Switzerland";"Basel-Landschaft";"Type of owners - total";5447;14810;14724
"1975";"Switzerland";"Basel-Landschaft";"Private forest";5360;3394;3394
"1975";"Switzerland";"Basel-Landschaft";"Public forest";87;11416;11330
"1975";"Switzerland";"Basel-Landschaft";">>Federal forest";1;24;24
"1975";"Switzerland";"Basel-Landschaft";">>Cantonal forest";1;178;176
"1975";"Switzerland";"Basel-Landschaft";">>Municipality forest";14;73;73
"1975";"Switzerland";"Basel-Landschaft";">>Bourgeois forest";70;11088;11004
"1975";"Switzerland";"Basel-Landschaft";">>Other public forest";1;53;53
"1975";"Switzerland";"Schaffhausen";"Type of owners - total";1965;12465;12294
"1975";"Switzerland";"Schaffhausen";"Private forest";1933;1873;1873
"1975";"Switzerland";"Schaffhausen";"Public forest";32;10592;10421
"1975";"Switzerland";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Switzerland";"Schaffhausen";">>Cantonal forest";1;2142;2093
"1975";"Switzerland";"Schaffhausen";">>Municipality forest";30;8442;8320
"1975";"Switzerland";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Schaffhausen";">>Other public forest";1;8;8
"1975";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - total";4120;6435;6411
"1975";"Switzerland";"Appenzell Ausserrhoden";"Private forest";4095;5051;5051
"1975";"Switzerland";"Appenzell Ausserrhoden";"Public forest";25;1384;1360
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Federal forest";1;163;163
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Cantonal forest";1;274;253
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Municipality forest";21;934;931
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Appenzell Ausserrhoden";">>Other public forest";2;13;13
"1975";"Switzerland";"Appenzell Innerrhoden";"Type of owners - total";1685;4999;4509
"1975";"Switzerland";"Appenzell Innerrhoden";"Private forest";1663;3099;3099
"1975";"Switzerland";"Appenzell Innerrhoden";"Public forest";22;1900;1410
"1975";"Switzerland";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Switzerland";"Appenzell Innerrhoden";">>Cantonal forest";1;154;132
"1975";"Switzerland";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Switzerland";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Switzerland";"Appenzell Innerrhoden";">>Other public forest";21;1746;1278
"1975";"Switzerland";"St. Gallen";"Type of owners - total";14359;50251;46575
"1975";"Switzerland";"St. Gallen";"Private forest";14099;18249;18249
"1975";"Switzerland";"St. Gallen";"Public forest";260;32002;28326
"1975";"Switzerland";"St. Gallen";">>Federal forest";1;52;48
"1975";"Switzerland";"St. Gallen";">>Cantonal forest";1;1986;1760
"1975";"Switzerland";"St. Gallen";">>Municipality forest";29;423;406
"1975";"Switzerland";"St. Gallen";">>Bourgeois forest";111;24916;21913
"1975";"Switzerland";"St. Gallen";">>Other public forest";118;4625;4199
